Year,Name,Position,School,Stats,Unaminous,ID
2017,Baker Mayfield*,QB,Oklahoma,285 Cmp 404 Att 4627 Yds 43 TD 6 Int,Yes,baker-mayfield-1
2017,Bryce Love*,RB,Stanford,263 Att 2118 Yds 8.1 Avg 19 TD,Yes,bryce-love-1
2017,Rashaad Penny*,RB,San Diego State,289 Att 2248 Yds 7.8 Avg 23 TD,No,rashaad-penny-1
2017,Michael Gallup*,WR,Colorado State,100 Rec 1413 Yds 14.1 Avg 7 TD,No,michael-gallup-1
2017,Anthony Miller*,WR,Memphis,96 Rec 1462 Yds 15.2 Avg 18 TD,No,anthony-miller-6
2017,James Washington*,WR,Oklahoma State,74 Rec 1549 Yds 20.9 Avg 13 TD,Yes,james-washington-5
2017,Mark Andrews*,TE,Oklahoma,62 Rec 958 Yds 15.5 Avg 8 TD,Yes,mark-andrews-1
2017,Orlando Brown*,OL,Oklahoma,,Yes,orlando-brown-2
2017,Mike McGlinchey*,OL,Notre Dame,,No,mike-mcglinchey-1
2017,Quenton Nelson*,OL,Notre Dame,,Yes,quenton-nelson-1
2017,Cody O'Connell*,OL,Washington State,,No,cody-oconnell-1
2017,Matt Gay*,K,Utah,40 XPM 40 XPA 30 FGM 34 FGA 130 Pts,No,matt-gay-2
2017,Saquon Barkley*,AP,Penn State,217 Att 1271 Yds 5.9 Avg 18 TD,Yes,saquon-barkley-1
2017,Dante Pettis*,AP,Washington,63 Rec 761 Yds 12.1 Avg 7 TD,No,dante-pettis-1
2017,Bradley Chubb*,DL,North Carolina State,40 Solo 33 Ast 10.0 Sk 0 Int,Yes,bradley-chubb-1
2017,Maurice Hurst Jr.*,DL,Michigan,25 Solo 35 Ast 5.0 Sk 0 Int,No,maurice-hurst-jr-1
2017,Hercules Mata'afa*,DL,Washington State,31 Solo 14 Ast 10.5 Sk 0 Int,No,hercules-mataafa-1
2017,Ed Oliver*,DL,Houston,47 Solo 26 Ast 5.5 Sk 0 Int,No,ed-oliver-2
2017,Sutton Smith*,DL,Northern Illinois,43 Solo 20 Ast 14.0 Sk 0 Int,No,sutton-smith-1
2017,Josey Jewell*,LB,Iowa,69 Solo 67 Ast 4.5 Sk 2 Int,Yes,josey-jewell-1
2017,Roquan Smith*,LB,Georgia,85 Solo 52 Ast 6.5 Sk 0 Int,Yes,roquan-smith-1
2017,DeShon Elliott*,DB,Texas,50 Solo 13 Ast 1.5 Sk 6 Int,Yes,deshon-elliott-1
2017,Minkah Fitzpatrick*,DB,Alabama,38 Solo 22 Ast 1.5 Sk 1 Int,Yes,minkah-fitzpatrick-1
2017,Joshua Jackson*,DB,Iowa,34 Solo 14 Ast 0.0 Sk 8 Int,Yes,joshua-jackson-3
2017,Denzel Ward*,DB,Ohio State,30 Solo 7 Ast 0.0 Sk 2 Int,No,denzel-ward-3
2017,Michael Dickson*,P,Texas,84 Punts 3984 Yds 47.4 Avg,Yes,michael-dickson-1
2018,Garrett Bradbury*,C,North Carolina State,,No,garrett-bradbury-1
2018,Tua Tagovailoa*,QB,Alabama,245 Cmp 355 Att 3966 Yds 43 TD 6 Int,No,tua-tagovailoa-1
2018,Darrell Henderson*,RB,Memphis,214 Att 1909 Yds 8.9 Avg 22 TD,No,darrell-henderson-1
2018,Jonathan Taylor*,RB,Wisconsin,307 Att 2194 Yds 7.1 Avg 16 TD,Yes,jonathan-taylor-1
2018,Andy Isabella,WR,Massachusetts,102 Rec 1698 Yds 16.6 Avg 13 TD,No,andy-isabella-1
2018,Jerry Jeudy*,WR,Alabama,68 Rec 1315 Yds 19.3 Avg 14 TD,No,jerry-jeudy-1
2018,Jace Sternberger*,TE,Texas A&M,48 Rec 832 Yds 17.3 Avg 10 TD,No,jace-sternberger-1
2018,Beau Benzschawel*,OL,Wisconsin,,No,beau-benzschawel-1
2018,Mitch Hyatt*,OL,Clemson,,No,mitch-hyatt-1
2018,Ben Powers*,OL,Oklahoma,,No,ben-powers-1
2018,Jonah Williams*,OL,Alabama,,Yes,jonah-williams-1
2018,Andre Szmyt*,K,Syracuse,61 XPM 61 XPA 30 FGM 34 FGA 151 Pts,Yes,andre-szmyt-1
2018,Rondale Moore*,AP,Purdue,114 Rec 1258 Yds 11.0 Avg 12 TD,No,rondale-moore-1
2018,Savon Scarver*,AP,Utah State,9 Rec 156 Yds 17.3 Avg 2 TD,No,savon-scarver-1
2018,Clelin Ferrell*,DL,Clemson,29 Solo 25 Ast 11.5 Sk 0 Int,No,clelin-ferrell-1
2018,Ed Oliver*,DL,Houston,29 Solo 25 Ast 3.0 Sk 0 Int,No,ed-oliver-2
2018,Christian Wilkins*,DL,Clemson,26 Solo 24 Ast 6.0 Sk 0 Int,Yes,christian-wilkins-1
2018,Quinnen Williams*,DL,Alabama,45 Solo 26 Ast 8.0 Sk 0 Int,Yes,quinnen-williams-1
2018,Josh Allen*,LB,Kentucky,56 Solo 32 Ast 17.0 Sk 0 Int,Yes,josh-allen-6
2018,Devin Bush*,LB,Michigan,38 Solo 40 Ast 5.0 Sk 0 Int,No,devin-bush-2
2018,Devin White*,LB,LSU,62 Solo 61 Ast 3.0 Sk 0 Int,No,devin-white-1
2018,Deandre Baker*,DB,Georgia,9 Solo 2 Ast 0.0 Sk 0 Int,No,deandre-baker-1
2018,Grant Delpit*,DB,LSU,46 Solo 28 Ast 5.0 Sk 5 Int,Yes,grant-delpit-1
2018,Julian Love*,DB,Notre Dame,49 Solo 14 Ast 0.0 Sk 1 Int,No,julian-love-1
2018,Deionte Thompson*,DB,Alabama,48 Solo 31 Ast 0.0 Sk 2 Int,No,deionte-thompson-1
